8, 1300, 1000, 1400, 500,  1, 1000
0, 1300, 1000, 2800, 500,  2, 1600
11, 1300, 1000, 4200, 500,  3, 2200
9, 1300, 1000, 5600, 500,  4, 2800
2, 2300, 1000, 1400, 500,  2, 1600
14, 2300, 1000, 2800, 500,  4, 2560
4, 2300, 1000, 4200, 500,  6, 3520
15, 2300, 1000, 5600, 500,  8, 4480
1, 3300, 1000, 1400, 500,  3, 2200
3, 3300, 1000, 2800, 500,  6, 3520
5, 3300, 1000, 4200, 500,  9, 4840
10, 3300, 1000, 5600, 500,  12, 6160
6, 4300, 1000, 1400, 500,  4, 2800
13, 4300, 1000, 2800, 500,  8, 4480
12, 4300, 1000, 4200, 500,  12, 6160
7, 4300, 1000, 5600, 500,  16, 7840
