4,2504.579671485464,2600.0,180
5,6238.727714070536,200.0,90
3,2162.2930108509654,5000.0,0
2,6756.191633938195,2600.0,270
1,8780.577937317044,1800.0,270
5,1117.5493125982794,2800.0,90
3,4989.7533402168065,1200.0,180
4,3594.7978875286585,1400.0,0
0,1801.2427963139087,6400.0,0
3,647.4162575095244,7800.0,0
3,2972.781090888975,8800.0,180
3,2537.104609201083,200.0,90
1,1252.4935454711567,5400.0,90
3,1571.2731444877948,9000.0,90
3,3417.113588226948,2800.0,180
3,3267.8565773603623,200.0,0
0,2177.2722690313662,3400.0,0
